id	filename	md5	size	state
0733dd3a-29c9-45ea-bb5f-69bac22911ee	0733dd3a-29c9-45ea-bb5f-69bac22911ee/16d289d4-a664-4827-a9e5-3b31de2a16a7.rna_seq.augmented_star_gene_counts.tsv	d9abb49dc520854ccbacf7efbdb8e8a8	4221610	validated
0f45416c-67c3-434c-8980-c59dd812fc18	0f45416c-67c3-434c-8980-c59dd812fc18/e416a6e2-7ee9-4a1d-adc1-6db8738a6cf3.rna_seq.augmented_star_gene_counts.tsv	7f91fe982cccaab8f12e5f35526d97aa	4231113	validated
14969d5e-273a-42a5-9bb1-4c585d987f35	14969d5e-273a-42a5-9bb1-4c585d987f35/51808cda-8154-4dfd-a251-5927cd2d3ef2.rna_seq.augmented_star_gene_counts.tsv	8acb4a8cc4fbe7336c079353a5f6c68e	4220252	validated
1fdeb962-a9f4-4cc6-87b5-439c54f1f236	1fdeb962-a9f4-4cc6-87b5-439c54f1f236/d339b92c-dd3a-4a07-b4ef-a68e1815c980.rna_seq.augmented_star_gene_counts.tsv	54e2f113d3bea4a898d57bab1ec3c279	4209757	validated
20798597-fd64-4c1a-8dc4-d97accf7c97b	20798597-fd64-4c1a-8dc4-d97accf7c97b/94a6881c-34ca-4f00-8fac-640f97a56c01.rna_seq.augmented_star_gene_counts.tsv	b6c795c8e37742f73e031bb922209694	4218849	validated
224fa76c-cf8d-48d8-8723-15907a04f2d2	224fa76c-cf8d-48d8-8723-15907a04f2d2/a0169877-dd20-4c7d-826c-bb424199a036.rna_seq.augmented_star_gene_counts.tsv	ba6a678a758ed96e14768cb2c50bb3a8	4219826	validated
22abb978-342f-414e-aedb-c4f2cf19f9c2	22abb978-342f-414e-aedb-c4f2cf19f9c2/363e5da6-0866-46d5-9d3a-f61f1b59e077.rna_seq.augmented_star_gene_counts.tsv	9d9788c8786a04a5946fb088c282241d	4230956	validated
23e1e3ef-4ce6-485c-b2a5-5822fbc65218	23e1e3ef-4ce6-485c-b2a5-5822fbc65218/6bdfd354-391c-48d9-8bb4-fd62eab673b1.rna_seq.augmented_star_gene_counts.tsv	164319c388a2bfbb823fa38d993262ab	4214951	validated
251e5d31-2d8d-4858-9b82-c78548e6987b	251e5d31-2d8d-4858-9b82-c78548e6987b/dd76dd00-b1e5-4245-8059-6b2966cf257d.rna_seq.augmented_star_gene_counts.tsv	35c4f6f4698c00874f31b20a8504aa45	4223073	validated
2534cd55-8240-4665-a2f4-3ea558c32518	2534cd55-8240-4665-a2f4-3ea558c32518/8faa741c-2bd9-4114-adc6-65c8b064a87e.rna_seq.augmented_star_gene_counts.tsv	9b16d0750276421255cc5ffad46a7b5a	4220730	validated
